Rank,Title,RatingTomatometer,Genres
50,enchanted,93,kids|family
51,frozen,90,kids|family
52,the breadwinner,95,kids|family
53,coraline,90,kids|family
54,lady and the tramp,93,kids|family
55,antz,93,kids|family
56,jason and the argonauts,93,kids|family
57,how to train your dragon 2,91,kids|family
58,bambi,90,kids|family
59,the secret of roan inish,95,kids|family
60,my neighbor totoro,94,kids|family
61,big hero 6,89,kids|family
62,harry potter and the prisoner of azkaban,90,kids|family
63,the little mermaid,92,kids|family
64,spy kids,93,kids|family
65,how green was my valley,90,kids|family
66,l'heure d'été,94,kids|family
67,pete's dragon,88,kids|family
68,a bug's life,92,kids|family
69,princess mononoke,92,kids|family
70,a monster calls,86,kids|family
71,arthur christmas,92,kids|family
72,harry potter and the goblet of fire,88,kids|family
73,james and the giant peach,92,kids|family
74,that thing you do!,93,kids|family
75,teen titans go! to the movies,91,kids|family
76,willy wonka and the chocolate factory,91,kids|family
77,ponyo,91,kids|family
78,shrek 2,89,kids|family
79,tangled,89,kids|family
80,first position,93,kids|family
81,shrek,88,kids|family
82,lassie,93,kids|family
83,duma,93,kids|family
84,winnie the pooh,91,kids|family
85,rango,88,kids|family
86,a christmas story,89,kids|family
87,paranorman,88,kids|family
88,the peanuts movie,87,kids|family
89,the sound of music,85,kids|family
90,kung fu panda,87,kids|family
91,wreck-it ralph,87,kids|family
92,millions,88,kids|family
93,the secret of kells,91,kids|family
94,howl's moving castle,87,kids|family
95,cinderella,84,kids|family
96,disneynature bears,91,kids|family
97,the muppet movie,88,kids|family
98,harry potter and the half-blood prince,83,kids|family
99,the karate kid,88,kids|family
100,freaky friday,87,kids|family
1,the wizard of oz,98,musical|performing_arts
2,singin' in the rain,100,musical|performing_arts
3,a hard day's night,98,musical|performing_arts
4,la la land,91,musical|performing_arts
5,pinocchio,100,musical|performing_arts
6,an american in paris,95,musical|performing_arts
7,the red shoes,96,musical|performing_arts
8,mary poppins,100,musical|performing_arts
9,gentlemen prefer blondes,98,musical|performing_arts
10,yellow submarine,97,musical|performing_arts
11,the umbrellas of cherbourg,98,musical|performing_arts
12,beauty and the beast,94,musical|performing_arts
13,20 feet from stardom,99,musical|performing_arts
14,the last waltz,98,musical|performing_arts
15,amy,95,musical|performing_arts
16,some like it hot,96,musical|performing_arts
17,fantasia,96,musical|performing_arts
18,sing street,95,musical|performing_arts
19,the young girls of rochefort,98,musical|performing_arts
20,once,97,musical|performing_arts
21,anvil! the story of anvil,98,musical|performing_arts
22,the lion king,93,musical|performing_arts
23,waste land,100,musical|performing_arts
24,west side story,94,musical|performing_arts
25,amadeus,94,musical|performing_arts
26,afghan star,100,musical|performing_arts
27,hairspray,98,musical|performing_arts
28,we are the best!,96,musical|performing_arts
29,everyday sunshine: the story of fishbone,100,musical|performing_arts
30,bill cunningham new york,99,musical|performing_arts
31,my fair lady,96,musical|performing_arts
32,rivers and tides: andy goldsworthy working with time,99,musical|performing_arts
33,johnny guitar,95,musical|performing_arts
34,what's love got to do with it?,96,musical|performing_arts
35,aladdin,94,musical|performing_arts
36,beware of mr. baker,98,musical|performing_arts
37,sound city,98,musical|performing_arts
38,nashville,92,musical|performing_arts
39,keep on keepin' on,98,musical|performing_arts
40,wordplay,95,musical|performing_arts
41,49 up,97,musical|performing_arts
42,the full monty,96,musical|performing_arts
43,muscle shoals,96,musical|performing_arts
44,marley,95,musical|performing_arts
45,hairspray,91,musical|performing_arts
46,searching for sugar man,94,musical|performing_arts
47,les plages d'agnès,96,musical|performing_arts
48,festival express,96,musical|performing_arts
49,"20,000 days on earth",95,musical|performing_arts
50,exit through the gift shop,95,musical|performing_arts
51,funny girl,93,musical|performing_arts
52,love & mercy,90,musical|performing_arts
53,born into brothels,95,musical|performing_arts
54,pina,95,musical|performing_arts
55,crumb,95,musical|performing_arts
56,the little mermaid,92,musical|performing_arts
57,marina abramovic: the artist is present,96,musical|performing_arts
58,los angeles plays itself,96,musical|performing_arts
59,straight outta compton,88,musical|performing_arts
60,lost in la mancha,94,musical|performing_arts
61,lagaan: once upon a time in india,95,musical|performing_arts
62,hedwig and the angry inch,93,musical|performing_arts
63,crazy heart,90,musical|performing_arts
64,my kid could paint that,94,musical|performing_arts
65,end of the century: the story of the ramones,95,musical|performing_arts
66,the wrecking crew,94,musical|performing_arts
67,willy wonka and the chocolate factory,91,musical|performing_arts
68,dave chappelle's block party,92,musical|performing_arts
69,the filth and the fury,95,musical|performing_arts
70,the sapphires,91,musical|performing_arts
71,sing your song,95,musical|performing_arts
72,tangled,89,musical|performing_arts
73,a band called death,94,musical|performing_arts
74,florence foster jenkins,87,musical|performing_arts
75,my architect,93,musical|performing_arts
76,little shop of horrors,90,musical|performing_arts
77,every little step,92,musical|performing_arts
78,u2 3d,92,musical|performing_arts
79,sid and nancy,88,musical|performing_arts
80,scratch,93,musical|performing_arts
81,the sound of music,85,musical|performing_arts
82,f for fake,88,musical|performing_arts
83,ballets russes,92,musical|performing_arts
84,standing in the shadows of motown,91,musical|performing_arts
85,shine,91,musical|performing_arts
86,born to be blue,89,musical|performing_arts
87,five easy pieces,87,musical|performing_arts
88,neil young: heart of gold,90,musical|performing_arts
89,buena vista social club,91,musical|performing_arts
90,topsy-turvy,89,musical|performing_arts
91,chicago,85,musical|performing_arts
92,sweeney todd: the demon barber of fleet street,85,musical|performing_arts
93,the devil and daniel johnston,89,musical|performing_arts
94,the muppet movie,88,musical|performing_arts
95,caesar must die,91,musical|performing_arts
96,metallica: some kind of monster,89,musical|performing_arts
97,the punk singer,90,musical|performing_arts
98,control,88,musical|performing_arts
99,mamma mia! here we go again,80,musical|performing_arts
100,beats rhymes & life: the travels of a tribe called quest,90,musical|performing_arts
1,citizen kane,100,mystery|suspense
2,get out,98,mystery|suspense
3,the third man,99,mystery|suspense
4,the cabinet of dr. caligari,100,mystery|suspense
5,a quiet place,95,mystery|suspense
6,spotlight,97,mystery|suspense
7,arrival,94,mystery|suspense
8,psycho,97,mystery|suspense
9,laura,100,mystery|suspense
10,the maltese falcon,100,mystery|suspense
11,argo,96,mystery|suspense
12,repulsion,100,mystery|suspense
13,north by northwest,99,mystery|suspense
14,rear window,100,mystery|suspense
15,alien,97,mystery|suspense
16,m,100,mystery|suspense
17,taxi driver,98,mystery|suspense
18,touch of evil,96,mystery|suspense
19,hell or high water,97,mystery|suspense
20,the babadook,98,mystery|suspense
21,vertigo,96,mystery|suspense
22,rebecca,100,mystery|suspense
23,the night of the hunter,98,mystery|suspense
24,rosemary's baby,99,mystery|suspense
25,rashômon,98,mystery|suspense
26,jaws,97,mystery|suspense
27,the wages of fear,100,mystery|suspense
28,l.a. confidential,99,mystery|suspense
29,harry potter and the deathly hallows - part 2,96,mystery|suspense
30,the big sleep,97,mystery|suspense
31,the lady vanishes,98,mystery|suspense
32,high noon,96,mystery|suspense
33,skyfall,92,mystery|suspense
34,"the godfather, part ii",97,mystery|suspense
35,chinatown,98,mystery|suspense
36,the post,88,mystery|suspense
37,anatomy of a murder,100,mystery|suspense
38,invasion of the body snatchers,98,mystery|suspense
39,nightcrawler,95,mystery|suspense
40,strangers on a train,98,mystery|suspense
41,the 39 steps,96,mystery|suspense
42,the salesman,96,mystery|suspense
43,badlands,98,mystery|suspense
44,the manchurian candidate,98,mystery|suspense
45,eyes without a face,98,mystery|suspense
46,freaks,94,mystery|suspense
47,the conversation,98,mystery|suspense
48,the silence of the lambs,96,mystery|suspense
49,forbidden planet,98,mystery|suspense
50,101 dalmatians,98,mystery|suspense
51,goldfinger,97,mystery|suspense
52,le cercle rouge,95,mystery|suspense
53,sunrise: a song of two humans,98,mystery|suspense
54,casino royale,94,mystery|suspense
55,eye in the sky,95,mystery|suspense
56,all is lost,94,mystery|suspense
57,the guilty,99,mystery|suspense
58,blood simple,94,mystery|suspense
59,peeping tom,96,mystery|suspense
60,assault on precinct 13,98,mystery|suspense
61,no country for old men,93,mystery|suspense
62,looper,93,mystery|suspense
63,the birds,96,mystery|suspense
64,halloween,95,mystery|suspense
65,the fugitive,96,mystery|suspense
66,bridge of spies,91,mystery|suspense
67,mad max 2: the road warrior,98,mystery|suspense
68,searching,92,mystery|suspense
69,mandy,92,mystery|suspense
70,who framed roger rabbit,97,mystery|suspense
71,close encounters of the third kind,96,mystery|suspense
72,diva,98,mystery|suspense
73,dr. no,96,mystery|suspense
74,ex machina,92,mystery|suspense
75,sicario,92,mystery|suspense
76,jurassic park,91,mystery|suspense
77,don't look now,96,mystery|suspense
78,10 cloverfield lane,90,mystery|suspense
79,in the line of fire,96,mystery|suspense
80,from russia with love,96,mystery|suspense
81,the vanishing,98,mystery|suspense
82,elevator to the gallows,93,mystery|suspense
83,in the heat of the night,96,mystery|suspense
84,wake in fright,100,mystery|suspense
85,three colors: blue,98,mystery|suspense
86,blue ruin,96,mystery|suspense
87,the cabin in the woods,91,mystery|suspense
88,the killer,98,mystery|suspense
89,the bourne ultimatum,92,mystery|suspense
90,to catch a thief,95,mystery|suspense
91,gone girl,87,mystery|suspense
92,the imitation game,90,mystery|suspense
93,blue velvet,94,mystery|suspense
94,l'avventura,95,mystery|suspense
95,diabolique,95,mystery|suspense
96,a girl walks home alone at night,96,mystery|suspense
97,children of men,92,mystery|suspense
98,wild tales,95,mystery|suspense
99,you were never really here,89,mystery|suspense
100,drag me to hell,92,mystery|suspense
1,it happened one night,98,romance
2,casablanca,97,romance
3,the big sick,98,romance
4,call me by your name,95,romance
5,singin' in the rain,100,romance
6,the shape of water,92,romance
7,the adventures of robin hood,100,romance
8,the philadelphia story,100,romance
9,vertigo,96,romance
10,on the waterfront,98,romance
11,roman holiday,98,romance
12,gone with the wind,92,romance
13,an american in paris,95,romance
14,carol,94,romance
15,before midnight,98,romance
16,the red shoes,96,romance
17,the african queen,98,romance
18,city lights,98,romance
19,beauty and the beast,95,romance
20,miracle on 34th street,96,romance
21,annie hall,97,romance
22,the artist,95,romance
23,her,94,romance
24,only yesterday,100,romance
25,gentlemen prefer blondes,98,romance
26,the umbrellas of cherbourg,98,romance
27,beauty and the beast,94,romance
28,three colors: red,100,romance
29,the princess bride,97,romance
30,the best years of our lives,96,romance
31,bringing up baby,95,romance
32,sunrise: a song of two humans,98,romance
33,the hustler,98,romance
34,before sunrise,100,romance
35,sideways,96,romance
36,the apartment,94,romance
37,groundhog day,96,romance
38,wings of desire,98,romance
39,the young girls of rochefort,98,romance
40,bull durham,97,romance
41,"crouching tiger, hidden dragon",97,romance
42,sense and sensibility,98,romance
43,lost in translation,95,romance
44,enough said,95,romance
45,titanic,89,romance
46,slumdog millionaire,91,romance
47,west side story,94,romance
48,elevator to the gallows,93,romance
49,god's own country,97,romance
50,your name.,97,romance
51,three colors: blue,98,romance
52,say anything...,98,romance
53,to catch a thief,95,romance
54,daughters of the dust,98,romance
55,manhattan,95,romance
56,a girl walks home alone at night,96,romance
57,shakespeare in love,92,romance
58,giant,95,romance
59,up in the air,91,romance
60,eternal sunshine of the spotless mind,93,romance
61,the lunchbox,96,romance
62,before sunset,95,romance
63,dave,95,romance
64,the town,93,romance
65,midnight in paris,93,romance
66,from here to eternity,92,romance
67,four weddings and a funeral,95,romance
68,a summer's tale,98,romance
69,the crying game,94,romance
70,enchanted,93,romance
71,big night,96,romance
72,howards end,94,romance
73,million dollar baby,91,romance
74,about a boy,93,romance
75,the general,94,romance
76,knocked up,90,romance
77,monsoon wedding,95,romance
78,masculin feminin,92,romance
79,hamlet,95,romance
80,revanche,96,romance
81,to all the boys i've loved before,96,romance
82,out of sight,93,romance
83,the graduate,89,romance
84,the remains of the day,95,romance
85,strictly ballroom,95,romance
86,the spectacular now,92,romance
87,moonstruck,93,romance
88,the little mermaid,92,romance
89,the duke of burgundy,94,romance
90,brief encounter,90,romance
91,the piano,92,romance
92,southside with you,91,romance
93,y tu mama tambien,92,romance
94,lone star,94,romance
95,hannah and her sisters,91,romance
96,crazy heart,90,romance
97,kung fu hustle,90,romance
98,open hearts,95,romance
99,obvious child,90,romance
100,husbands and wives,93,romance
1,black panther,97,science_fiction|fantasy
2,the wizard of oz,98,science_fiction|fantasy
3,mad max: fury road,97,science_fiction|fantasy
4,wonder woman,93,science_fiction|fantasy
5,e.t. the extra-terrestrial,98,science_fiction|fantasy
6,metropolis,99,science_fiction|fantasy
7,arrival,94,science_fiction|fantasy
8,star wars: the last jedi,91,science_fiction|fantasy
9,logan,93,science_fiction|fantasy
10,the shape of water,92,science_fiction|fantasy
11,gravity,96,science_fiction|fantasy
12,star wars: episode vii - the force awakens,93,science_fiction|fantasy
13,"nosferatu, a symphony of horror",97,science_fiction|fantasy
14,snow white and the seven dwarfs,98,science_fiction|fantasy
15,thor: ragnarok,92,science_fiction|fantasy
16,the bride of frankenstein,100,science_fiction|fantasy
17,alien,97,science_fiction|fantasy
18,toy story 2,100,science_fiction|fantasy
19,spider-man: homecoming,92,science_fiction|fantasy
20,war for the planet of the apes,93,science_fiction|fantasy
21,toy story 3,98,science_fiction|fantasy
22,dr. strangelove or how i learned to stop worrying and love the bomb,99,science_fiction|fantasy
23,frankenstein,100,science_fiction|fantasy
24,the dark knight,94,science_fiction|fantasy
25,captain america: civil war,91,science_fiction|fantasy
26,pinocchio,100,science_fiction|fantasy
27,harry potter and the deathly hallows - part 2,96,science_fiction|fantasy
28,aliens,99,science_fiction|fantasy
29,toy story,100,science_fiction|fantasy
30,ant-man and the wasp,88,science_fiction|fantasy
31,star wars: episode iv - a new hope,93,science_fiction|fantasy
32,wall-e,96,science_fiction|fantasy
33,sorry to bother you,93,science_fiction|fantasy
34,invasion of the body snatchers,98,science_fiction|fantasy
35,star trek,94,science_fiction|fantasy
36,kubo and the two strings,97,science_fiction|fantasy
37,the terminator,100,science_fiction|fantasy
38,marvel's the avengers,92,science_fiction|fantasy
39,the martian,91,science_fiction|fantasy
40,mary poppins,100,science_fiction|fantasy
41,beauty and the beast,95,science_fiction|fantasy
42,miracle on 34th street,96,science_fiction|fantasy
43,star wars: episode v - the empire strikes back,95,science_fiction|fantasy
44,snowpiercer,95,science_fiction|fantasy
45,2001: a space odyssey,93,science_fiction|fantasy
46,the discreet charm of the bourgeoisie,98,science_fiction|fantasy
47,it's a wonderful life,93,science_fiction|fantasy
48,blade runner 2049,87,science_fiction|fantasy
49,her,94,science_fiction|fantasy
50,how to train your dragon,98,science_fiction|fantasy
51,avengers: infinity war,84,science_fiction|fantasy
52,8 1/2,98,science_fiction|fantasy
53,yellow submarine,97,science_fiction|fantasy
54,guardians of the galaxy,91,science_fiction|fantasy
55,beauty and the beast,94,science_fiction|fantasy
56,iron man,93,science_fiction|fantasy
57,the princess bride,97,science_fiction|fantasy
58,forbidden planet,98,science_fiction|fantasy
59,ghostbusters,97,science_fiction|fantasy
60,the nightmare before christmas,95,science_fiction|fantasy
61,big,97,science_fiction|fantasy
62,pan's labyrinth,95,science_fiction|fantasy
63,fantasia,96,science_fiction|fantasy
64,the day the earth stood still,94,science_fiction|fantasy
65,"monsters, inc.",96,science_fiction|fantasy
66,doctor strange,89,science_fiction|fantasy
67,x-men: days of future past,90,science_fiction|fantasy
68,the lord of the rings: the two towers,95,science_fiction|fantasy
69,live die repeat: edge of tomorrow,90,science_fiction|fantasy
70,looper,93,science_fiction|fantasy
71,back to the future,96,science_fiction|fantasy
72,groundhog day,96,science_fiction|fantasy
73,the iron giant,96,science_fiction|fantasy
74,spirited away,97,science_fiction|fantasy
75,solaris,96,science_fiction|fantasy
76,wings of desire,98,science_fiction|fantasy
77,gojira,93,science_fiction|fantasy
78,dawn of the planet of the apes,90,science_fiction|fantasy
79,song of the sea,99,science_fiction|fantasy
80,mad max 2: the road warrior,98,science_fiction|fantasy
81,annihilation,89,science_fiction|fantasy
82,close encounters of the third kind,96,science_fiction|fantasy
83,babe,97,science_fiction|fantasy
84,ex machina,92,science_fiction|fantasy
85,jurassic park,91,science_fiction|fantasy
86,brazil,98,science_fiction|fantasy
87,10 cloverfield lane,90,science_fiction|fantasy
88,blade runner,90,science_fiction|fantasy
89,repo man,98,science_fiction|fantasy
90,jodorowsky's dune,97,science_fiction|fantasy
91,the lord of the rings: the return of the king,93,science_fiction|fantasy
92,the seventh seal,93,science_fiction|fantasy
93,spider-man 2,93,science_fiction|fantasy
94,captain america: the winter soldier,89,science_fiction|fantasy
95,children of men,92,science_fiction|fantasy
96,the secret world of arrietty,95,science_fiction|fantasy
97,invasion of the body snatchers,94,science_fiction|fantasy
98,the evil dead,95,science_fiction|fantasy
99,district 9,90,science_fiction|fantasy
100,eternal sunshine of the spotless mind,93,science_fiction|fantasy
1,the bride of frankenstein,100,special_interest
2,frankenstein,100,special_interest
3,man on wire,100,special_interest
4,life itself,97,special_interest
5,miracle on 34th street,96,special_interest
6,the discreet charm of the bourgeoisie,98,special_interest
7,her,94,special_interest
8,amy,95,special_interest
9,taxi to the dark side,100,special_interest
10,blackfish,98,special_interest
11,murderball,98,special_interest
12,groundhog day,96,special_interest
13,inside job,98,special_interest
14,jiro dreams of sushi,99,special_interest
15,the square,100,special_interest
16,hoop dreams,98,special_interest
17,"mr. death: the rise and fall of fred a. leuchter, jr.",100,special_interest
18,afghan star,100,special_interest
19,capturing the friedmans,97,special_interest
20,waltz with bashir,96,special_interest
21,the overnighters,99,special_interest
22,jodorowsky's dune,97,special_interest
23,the interrupters,99,special_interest
24,how to survive a plague,99,special_interest
25,56 up,99,special_interest
26,last train home,100,special_interest
27,the invisible war,99,special_interest
28,spellbound,97,special_interest
29,enron: the smartest guys in the room,97,special_interest
30,love is strange,94,special_interest
31,the act of killing,95,special_interest
32,this is not a film,97,special_interest
33,elaine stritch: shoot me,98,special_interest
34,the king of kong: a fistful of quarters,97,special_interest
35,the fog of war: eleven lessons from the life of robert s. mcnamara,96,special_interest
36,bowling for columbine,95,special_interest
37,the imposter,96,special_interest
38,the war tapes,98,special_interest
39,cave of forgotten dreams,96,special_interest
40,ai weiwei: never sorry,97,special_interest
41,undefeated,96,special_interest
42,l'année dernière à marienbad,94,special_interest
43,sicko,92,special_interest
44,mea maxima culpa: silence in the house of god,98,special_interest
45,blindsight,98,special_interest
46,the devil came on horseback,98,special_interest
47,call me kuchu,98,special_interest
48,for the bible tells me so,98,special_interest
49,let the fire burn,98,special_interest
50,restrepo,96,special_interest
51,the life and times of hank greenberg,97,special_interest
52,surfwise,98,special_interest
53,bus 174,97,special_interest
54,wordplay,95,special_interest
55,control room,96,special_interest
56,burma vj: reporter i et lukket land,97,special_interest
57,no end in sight,96,special_interest
58,49 up,97,special_interest
59,winged migration,95,special_interest
60,muscle shoals,96,special_interest
61,the queen of versailles,95,special_interest
62,marley,95,special_interest
63,finding vivian maier,95,special_interest
64,an inconvenient truth,93,special_interest
65,a film unfinished,97,special_interest
66,"bigger, stronger, faster*",96,special_interest
67,sweetgrass,97,special_interest
68,trouble the water,96,special_interest
69,to be and to have,97,special_interest
70,"food, inc.",95,special_interest
71,the wild parrots of telegraph hill,95,special_interest
72,chasing ice,96,special_interest
73,"20,000 days on earth",95,special_interest
74,exit through the gift shop,95,special_interest
75,shaun of the dead,92,special_interest
76,the gatekeepers,94,special_interest
77,touching the void,94,special_interest
78,born into brothels,95,special_interest
79,crumb,95,special_interest
80,i am divine,96,special_interest
81,manakamana,96,special_interest
82,deep water,96,special_interest
83,the last of the unjust,96,special_interest
84,cutie and the boxer,95,special_interest
85,brooklyn castle,96,special_interest
86,up the yangtze,96,special_interest
87,good hair,95,special_interest
88,5 broken cameras,96,special_interest
89,national gallery,95,special_interest
90,the salt of the earth,94,special_interest
91,last days in vietnam,95,special_interest
92,plagues & pleasures on the salton sea,96,special_interest
93,promises,96,special_interest
94,the arbor,96,special_interest
95,the endurance,95,special_interest
96,eraserhead,91,special_interest
97,los angeles plays itself,96,special_interest
98,super size me,92,special_interest
99,my winnipeg,94,special_interest
100,the story of the weeping camel,94,special_interest
1,murderball,98,sports|fitness
2,hoop dreams,98,sports|fitness
3,when we were kings,98,sports|fitness
4,the king of kong: a fistful of quarters,97,sports|fitness
5,rocky,93,sports|fitness
6,undefeated,96,sports|fitness
7,the life and times of hank greenberg,97,sports|fitness
8,surfwise,98,sports|fitness
9,touching the void,94,sports|fitness
10,red army,94,sports|fitness
11,battle of the sexes,85,sports|fitness
12,the fighter,90,sports|fitness
13,the crash reel,96,sports|fitness
14,sugar,92,sports|fitness
15,the damned united,92,sports|fitness
16,boxing gym,95,sports|fitness
17,riding giants,93,sports|fitness
18,senna,92,sports|fitness
19,dogtown and z-boys,92,sports|fitness
20,the color of money,89,sports|fitness
21,tristram shandy: a cock & bull story,89,sports|fitness
22,up for grabs,92,sports|fitness
23,hoosiers,88,sports|fitness
24,field of dreams,86,sports|fitness
25,girlfight,87,sports|fitness
26,the heart of the game,87,sports|fitness
27,tyson,85,sports|fitness
28,chariots of fire,83,sports|fitness
29,the hurricane,83,sports|fitness
30,looking for eric,85,sports|fitness
31,the armstrong lie,82,sports|fitness
32,major league,82,sports|fitness
33,goon,82,sports|fitness
34,beyond the mat,82,sports|fitness
35,the boxer,80,sports|fitness
36,invictus,76,sports|fitness
37,fed up,81,sports|fitness
38,a league of their own,78,sports|fitness
39,step into liquid,81,sports|fitness
40,once in a lifetime: the extraordinary story of the new york cosmos,81,sports|fitness
41,stoked: the rise and fall of gator,81,sports|fitness
42,talladega nights: the ballad of ricky bobby,71,sports|fitness
43,invincible,72,sports|fitness
44,gunnin' for that #1 spot,74,sports|fitness
45,ultimate x: the movie,74,sports|fitness
46,the blind side,66,sports|fitness
47,more than a game,71,sports|fitness
48,secretariat,63,sports|fitness
49,dust to glory,60,sports|fitness
50,nascar: the imax experience,61,sports|fitness
51,glory road,56,sports|fitness
52,the sandlot,57,sports|fitness
53,because of winn-dixie,55,sports|fitness
54,the perfect game,57,sports|fitness
55,steep,54,sports|fitness
56,first descent,52,sports|fitness
57,soul surfer,45,sports|fitness
58,goal! the dream begins,43,sports|fitness
59,the replacements,41,sports|fitness
60,beerfest,40,sports|fitness
61,grudge match,30,sports|fitness
62,jiminy glick in lalawood,22,sports|fitness
63,playing for keeps,5,sports|fitness
1,life itself,97,television
2,afghan star,100,television
3,49 up,97,television
4,room 237,94,television
5,behind the candelabra,95,television
6,a film unfinished,97,television
7,the return,95,television
8,being elmo: a puppeteer's journey,95,television
9,"not quite hollywood: the wild, untold story of ozploitation!",95,television
10,los angeles plays itself,96,television
11,lost in la mancha,94,television
12,best worst movie,95,television
13,sing your song,95,television
14,american movie,94,television
15,the normal heart,94,television
16,"yoo-hoo, mrs. goldberg",93,television
17,the kid stays in the picture,91,television
18,side by side,92,television
19,joan rivers: a piece of work,91,television
20,f for fake,88,television
21,duel,88,television
22,saraband,91,television
23,corman's world: exploits of a hollywood rebel,92,television
24,"electric boogaloo: the wild, untold story of cannon films",91,television
25,tell them who you are,88,television
26,the five obstructions,88,television
27,doctor zhivago,82,television
28,this film is not yet rated,84,television
29,trekkies,86,television
30,inside deep throat,83,television
31,outfoxed: rupert murdoch's war on journalism,85,television
32,trumbo,83,television
33,confirmation,82,television
34,tupac: resurrection,78,television
35,overnight,78,television
36,teacher's pet,76,television
37,pom wonderful presents: the greatest movie ever sold,74,television
38,fellini: i'm a born liar,73,television
39,my date with drew,71,television
40,only human,71,television
41,waking sleeping beauty,70,television
42,porn star: the legend of ron jeremy,69,television
43,the rugrats movie,59,television
44,i'm still here,53,television
45,no strings attached,49,television
46,bamboozled,48,television
47,the real cancun,35,television
48,i am,36,television
49,15 minutes,32,television
50,man of the year,22,television
51,pokemon 3: the movie,21,television
52,the honeymooners,13,television
53,from justin to kelly,10,television
1,the treasure of the sierra madre,100,western
2,"the good, the bad and the ugly",97,western
3,high noon,96,western
4,the searchers,100,western
5,rio bravo,100,western
6,once upon a time in the west,98,western
7,true grit,96,western
8,unforgiven,96,western
9,a fistful of dollars,98,western
10,the wild bunch,94,western
11,the ballad of buster scruggs,92,western
12,johnny guitar,95,western
13,giant,95,western
14,sweetgrass,97,western
15,the man who shot liberty valance,93,western
16,lone star,94,western
17,butch cassidy and the sundance kid,90,western
18,3:10 to yuma,89,western
19,django unchained,86,western
20,blazing saddles,90,western
21,true grit,88,western
22,mccabe & mrs. miller,89,western
23,bone tomahawk,91,western
24,the magnificent seven,88,western
25,near dark,88,western
26,the three burials of melquiades estrada,85,western
27,meek's cutoff,86,western
28,the proposition,85,western
29,dances with wolves,82,western
30,the homesman,81,western
31,the hateful eight,74,western
32,"the good, the bad, the weird",83,western
33,open range,79,western
34,shanghai noon,79,western
35,appaloosa,76,western
36,the assassination of jesse james by the coward robert ford,76,western
37,hostiles,71,western
38,red hill,78,western
39,in a valley of violence,76,western
40,the keeping room,75,western
41,the horse whisperer,74,western
42,blackthorn,75,western
43,tombstone,73,western
44,fah talai jone,74,western
45,the magnificent seven,63,western
46,the salvation,72,western
47,dead man,70,western
48,the rover,66,western
49,maverick,66,western
50,the claim,62,western
51,the missing,58,western
52,heaven's gate,57,western
53,legends of the fall,56,western
54,the quick and the dead,57,western
55,sukiyaki western django,56,western
56,the killer inside me,54,western
57,seraphim falls,55,western
58,ned kelly,56,western
59,down in the valley,52,western
60,cowboys & aliens,45,western
61,forsaken,43,western
62,jane got a gun,41,western
63,brimstone,41,western
64,a million ways to die in the west,33,western
65,the lone ranger,31,western
66,the alamo,29,western
67,the warrior's way,28,western
68,the dark tower,16,western
69,wild wild west,17,western
70,priest,15,western
71,american outlaws,14,western
72,september dawn,15,western
73,jonah hex,12,western
74,texas rangers,2,western
